Sub-network,Date,Model Parameters,Latency (ms),MACs,Top-1 Acc (%)
"{'wid': None, 'ks': [7, 3, 3, 5, 5, 7, 3, 7, 3, 3, 3, 7, 5, 5, 5, 7, 5, 7, 5, 5], 'e': [4, 4, 4, 4, 3, 6, 4, 4, 6, 4, 3, 6, 4, 4, 3, 6, 4, 4, 6, 6], 'd': [2, 3, 2, 3, 2], 'r': [224]}",2022-11-01 06:07:12.263189,4029600,0,209868864,74.63
"{'wid': None, 'ks': [5, 7, 7, 5, 7, 3, 7, 3, 5, 7, 3, 3, 5, 5, 5, 5, 5, 5, 5, 3], 'e': [6, 4, 4, 4, 6, 3, 4, 4, 4, 3, 6, 6, 4, 4, 6, 4, 3, 4, 4, 4], 'd': [3, 4, 4, 3, 2], 'r': [224]}",2022-11-01 06:09:17.674451,4368304,0,309639312,75.44
"{'wid': None, 'ks': [7, 7, 3, 7, 7, 5, 5, 5, 3, 5, 7, 3, 5, 5, 5, 7, 5, 5, 5, 5], 'e': [3, 4, 3, 3, 4, 4, 6, 4, 4, 4, 3, 4, 3, 6, 3, 4, 3, 6, 4, 4], 'd': [2, 3, 2, 4, 2], 'r': [224]}",2022-11-01 06:10:55.270399,4675968,0,247568528,75.178
"{'wid': None, 'ks': [3, 3, 5, 5, 3, 7, 5, 5, 5, 5, 5, 3, 3, 7, 7, 5, 5, 5, 5, 3], 'e': [3, 4, 4, 3, 3, 3, 4, 3, 3, 6, 3, 4, 3, 3, 3, 4, 6, 6, 4, 4], 'd': [2, 3, 4, 2, 2], 'r': [224]}",2022-11-01 06:12:02.384890,4408160,0,193971712,74.374
"{'wid': None, 'ks': [3, 3, 3, 5, 5, 7, 7, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 7, 7, 3], 'e': [6, 4, 6, 6, 4, 3, 4, 4, 4, 4, 3, 6, 6, 4, 3, 4, 3, 6, 3, 4], 'd': [3, 3, 3, 4, 2], 'r': [224]}",2022-11-01 06:13:37.865549,4665520,0,270867728,75.548
"{'wid': None, 'ks': [3, 3, 7, 7, 5, 5, 5, 3, 7, 5, 5, 5, 3, 3, 5, 3, 5, 3, 5, 5], 'e': [4, 4, 4, 4, 4, 4, 6, 4, 3, 3, 4, 4, 3, 4, 4, 4, 6, 3, 3, 4], 'd': [3, 3, 3, 2, 4], 'r': [224]}",2022-11-01 06:15:06.170362,4619800,0,236720704,75.192
"{'wid': None, 'ks': [7, 5, 5, 5, 5, 3, 7, 3, 7, 5, 3, 5, 7, 5, 7, 5, 5, 7, 3, 5], 'e': [3, 6, 6, 3, 4, 6, 3, 4, 6, 3, 4, 4, 6, 6, 6, 4, 6, 6, 4, 6], 'd': [2, 3, 2, 2, 2], 'r': [224]}",2022-11-01 06:16:37.566032,4740248,0,232098144,74.802
"{'wid': None, 'ks': [5, 5, 5, 3, 5, 5, 7, 5, 5, 7, 5, 3, 3, 7, 3, 7, 5, 7, 7, 7], 'e': [4, 6, 4, 4, 4, 6, 6, 6, 4, 4, 4, 3, 3, 4, 4, 4, 3, 3, 3, 6], 'd': [3, 3, 3, 2, 4], 'r': [224]}",2022-11-01 06:18:28.073128,4853688,0,266774416,75.066
"{'wid': None, 'ks': [7, 3, 5, 7, 7, 5, 5, 3, 7, 3, 7, 5, 5, 5, 3, 3, 3, 3, 7, 5], 'e': [3, 6, 6, 6, 6, 3, 4, 6, 4, 3, 6, 3, 3, 4, 4, 4, 3, 6, 4, 3], 'd': [4, 4, 4, 4, 3], 'r': [224]}",2022-11-01 06:20:50.195669,5152000,0,360979152,76.256
"{'wid': None, 'ks': [5, 3, 5, 5, 5, 5, 5, 3, 3, 5, 3, 7, 5, 5, 5, 7, 5, 5, 5, 5], 'e': [6, 6, 4, 6, 6, 4, 6, 4, 4, 4, 6, 3, 6, 6, 3, 6, 3, 4, 4, 3], 'd': [4, 4, 3, 2, 3], 'r': [224]}",2022-11-01 06:22:54.953483,4645080,0,318903248,75.386
"{'wid': None, 'ks': [5, 7, 5, 5, 5, 5, 7, 3, 7, 5, 7, 5, 5, 7, 3, 7, 5, 3, 5, 5], 'e': [3, 4, 4, 4, 3, 6, 6, 6, 4, 3, 6, 3, 3, 4, 4, 6, 4, 4, 4, 6], 'd': [3, 3, 2, 4, 3], 'r': [224]}",2022-11-01 06:24:47.674278,4905000,0,286204224,75.814
