Sub-network,Date,Model Parameters,Latency (ms),MACs,Top-1 Acc (%)
"{'wid': None, 'ks': [7, 3, 3, 5, 5, 7, 3, 7, 3, 3, 3, 7, 5, 5, 5, 7, 5, 7, 5, 5], 'e': [4, 4, 4, 4, 3, 6, 4, 4, 6, 4, 3, 6, 4, 4, 3, 6, 4, 4, 6, 6], 'd': [2, 3, 2, 3, 2], 'r': [224]}",2022-11-01 06:02:29.102414,4029600,0,209868864,74.648
"{'wid': None, 'ks': [5, 7, 7, 5, 7, 3, 7, 3, 5, 7, 3, 3, 5, 5, 5, 5, 5, 5, 5, 3], 'e': [6, 4, 4, 4, 6, 3, 4, 4, 4, 3, 6, 6, 4, 4, 6, 4, 3, 4, 4, 4], 'd': [3, 4, 4, 3, 2], 'r': [224]}",2022-11-01 06:03:55.896768,4368304,0,309639312,75.418
"{'wid': None, 'ks': [7, 7, 3, 7, 7, 5, 5, 5, 3, 5, 7, 3, 5, 5, 5, 7, 5, 5, 5, 5], 'e': [3, 4, 3, 3, 4, 4, 6, 4, 4, 4, 3, 4, 3, 6, 3, 4, 3, 6, 4, 4], 'd': [2, 3, 2, 4, 2], 'r': [224]}",2022-11-01 06:05:35.399616,4675968,0,247568528,75.154
"{'wid': None, 'ks': [3, 3, 5, 5, 3, 7, 5, 5, 5, 5, 5, 3, 3, 7, 7, 5, 5, 5, 5, 3], 'e': [3, 4, 4, 3, 3, 3, 4, 3, 3, 6, 3, 4, 3, 3, 3, 4, 6, 6, 4, 4], 'd': [2, 3, 4, 2, 2], 'r': [224]}",2022-11-01 06:07:06.618719,4408160,0,193971712,74.426
"{'wid': None, 'ks': [3, 3, 3, 5, 5, 7, 7, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 7, 7, 3], 'e': [6, 4, 6, 6, 4, 3, 4, 4, 4, 4, 3, 6, 6, 4, 3, 4, 3, 6, 3, 4], 'd': [3, 3, 3, 4, 2], 'r': [224]}",2022-11-01 06:08:43.302341,4665520,0,270867728,75.57
"{'wid': None, 'ks': [3, 3, 7, 7, 5, 5, 5, 3, 7, 5, 5, 5, 3, 3, 5, 3, 5, 3, 5, 5], 'e': [4, 4, 4, 4, 4, 4, 6, 4, 3, 3, 4, 4, 3, 4, 4, 4, 6, 3, 3, 4], 'd': [3, 3, 3, 2, 4], 'r': [224]}",2022-11-01 06:10:11.017555,4619800,0,236720704,75.156
"{'wid': None, 'ks': [7, 5, 5, 5, 5, 3, 7, 3, 7, 5, 3, 5, 7, 5, 7, 5, 5, 7, 3, 5], 'e': [3, 6, 6, 3, 4, 6, 3, 4, 6, 3, 4, 4, 6, 6, 6, 4, 6, 6, 4, 6], 'd': [2, 3, 2, 2, 2], 'r': [224]}",2022-11-01 06:11:20.301045,4740248,0,232098144,74.816
"{'wid': None, 'ks': [5, 5, 5, 3, 5, 5, 7, 5, 5, 7, 5, 3, 3, 7, 3, 7, 5, 7, 7, 7], 'e': [4, 6, 4, 4, 4, 6, 6, 6, 4, 4, 4, 3, 3, 4, 4, 4, 3, 3, 3, 6], 'd': [3, 3, 3, 2, 4], 'r': [224]}",2022-11-01 06:12:47.218976,4853688,0,266774416,75.022
"{'wid': None, 'ks': [7, 3, 5, 7, 7, 5, 5, 3, 7, 3, 7, 5, 5, 5, 3, 3, 3, 3, 7, 5], 'e': [3, 6, 6, 6, 6, 3, 4, 6, 4, 3, 6, 3, 3, 4, 4, 4, 3, 6, 4, 3], 'd': [4, 4, 4, 4, 3], 'r': [224]}",2022-11-01 06:14:23.191455,5152000,0,360979152,76.292
"{'wid': None, 'ks': [5, 3, 5, 5, 5, 5, 5, 3, 3, 5, 3, 7, 5, 5, 5, 7, 5, 5, 5, 5], 'e': [6, 6, 4, 6, 6, 4, 6, 4, 4, 4, 6, 3, 6, 6, 3, 6, 3, 4, 4, 3], 'd': [4, 4, 3, 2, 3], 'r': [224]}",2022-11-01 06:16:02.907401,4645080,0,318903248,75.376
"{'wid': None, 'ks': [5, 7, 5, 5, 5, 5, 7, 3, 7, 5, 7, 5, 5, 7, 3, 7, 5, 3, 5, 5], 'e': [3, 4, 4, 4, 3, 6, 6, 6, 4, 3, 6, 3, 3, 4, 4, 6, 4, 4, 4, 6], 'd': [3, 3, 2, 4, 3], 'r': [224]}",2022-11-01 06:17:22.967178,4905000,0,286204224,75.848
"{'wid': None, 'ks': [3, 3, 5, 5, 5, 7, 3, 5, 7, 5, 5, 5, 5, 7, 5, 7, 3, 3, 3, 5], 'e': [4, 6, 4, 6, 3, 6, 6, 6, 6, 6, 4, 3, 3, 6, 4, 6, 4, 3, 3, 4], 'd': [3, 2, 3, 2, 3], 'r': [224]}",2022-11-01 06:19:02.564755,4230632,0,239427840,74.854
"{'wid': None, 'ks': [5, 7, 5, 5, 3, 3, 5, 5, 5, 5, 5, 7, 7, 3, 5, 3, 3, 7, 3, 5], 'e': [4, 4, 4, 3, 4, 4, 3, 4, 3, 3, 4, 3, 4, 4, 6, 3, 3, 3, 4, 4], 'd': [2, 4, 2, 3, 3], 'r': [224]}",2022-11-01 06:20:46.879984,4439936,0,230736080,74.926
"{'wid': None, 'ks': [7, 5, 7, 5, 7, 3, 7, 5, 7, 5, 5, 5, 5, 3, 3, 3, 3, 7, 3, 7], 'e': [4, 3, 6, 4, 4, 4, 4, 3, 6, 6, 4, 3, 4, 3, 3, 4, 4, 6, 4, 4], 'd': [3, 3, 3, 4, 2], 'r': [224]}",2022-11-01 06:22:28.599619,4621992,0,288648768,75.744
"{'wid': None, 'ks': [7, 5, 5, 5, 5, 7, 7, 5, 5, 5, 7, 3, 5, 5, 5, 3, 5, 7, 3, 3], 'e': [6, 3, 6, 4, 3, 6, 4, 4, 4, 4, 3, 4, 6, 4, 4, 4, 6, 3, 6, 4], 'd': [2, 2, 2, 3, 3], 'r': [224]}",2022-11-01 06:23:55.051421,4996256,0,241767744,75.452
"{'wid': None, 'ks': [7, 5, 3, 5, 5, 3, 3, 3, 5, 5, 5, 7, 7, 5, 7, 3, 3, 5, 3, 5], 'e': [6, 3, 3, 4, 6, 4, 4, 3, 3, 6, 6, 3, 6, 4, 6, 4, 4, 4, 4, 3], 'd': [2, 3, 3, 2, 3], 'r': [224]}",2022-11-01 06:25:29.206717,4487048,0,239727392,74.984
