Sub-network,Date,Model Parameters,Latency (ms),MACs,Top-1 Acc (%)
"{'wid': None, 'ks': [3, 5, 5, 5, 5, 7, 7, 7, 7, 7, 3, 5, 3, 5, 5, 5, 3, 5, 5, 7], 'e': [6, 4, 6, 3, 4, 3, 6, 6, 3, 4, 6, 6, 6, 3, 3, 6, 4, 3, 4, 3], 'd': [2, 3, 3, 3, 2], 'r': [224]}",2022-11-01 06:04:25.662737,3968456,0,229840256,74.684
"{'wid': None, 'ks': [5, 5, 5, 5, 5, 5, 5, 3, 5, 3, 7, 7, 3, 5, 3, 7, 3, 7, 3, 3], 'e': [3, 3, 3, 6, 3, 3, 3, 4, 6, 3, 6, 3, 4, 6, 4, 4, 3, 6, 6, 6], 'd': [4, 2, 2, 3, 2], 'r': [224]}",2022-11-01 06:05:50.783416,4498496,0,237081360,74.408
"{'wid': None, 'ks': [7, 3, 5, 7, 7, 5, 5, 7, 3, 3, 7, 7, 7, 3, 3, 7, 5, 7, 7, 3], 'e': [6, 3, 4, 6, 4, 6, 4, 3, 6, 6, 4, 3, 4, 4, 3, 4, 4, 6, 4, 6], 'd': [2, 3, 2, 4, 4], 'r': [224]}",2022-11-01 06:07:24.000449,5884072,0,283829056,76.248
"{'wid': None, 'ks': [7, 5, 7, 7, 5, 5, 5, 7, 7, 5, 5, 3, 3, 5, 5, 3, 5, 7, 7, 7], 'e': [4, 4, 3, 4, 4, 3, 4, 3, 4, 4, 4, 4, 6, 6, 4, 6, 3, 6, 3, 3], 'd': [2, 4, 3, 3, 4], 'r': [224]}",2022-11-01 06:08:55.601983,5315440,0,269450448,76.138
"{'wid': None, 'ks': [3, 7, 5, 7, 7, 5, 5, 3, 3, 5, 3, 5, 7, 3, 5, 7, 7, 5, 5, 7], 'e': [6, 4, 4, 6, 6, 4, 4, 6, 4, 4, 4, 4, 3, 3, 6, 3, 4, 3, 6, 6], 'd': [4, 2, 2, 2, 4], 'r': [224]}",2022-11-01 06:10:46.576412,5222088,0,282182048,74.628
"{'wid': None, 'ks': [5, 5, 7, 7, 7, 7, 5, 3, 3, 5, 3, 5, 3, 5, 3, 7, 7, 3, 5, 3], 'e': [3, 6, 4, 6, 3, 6, 4, 3, 3, 6, 4, 4, 4, 4, 4, 3, 3, 4, 4, 3], 'd': [2, 3, 3, 2, 4], 'r': [224]}",2022-11-01 06:12:04.962623,4574128,0,227139728,75.076
"{'wid': None, 'ks': [7, 7, 3, 3, 3, 7, 5, 3, 3, 3, 7, 5, 7, 7, 7, 3, 7, 5, 5, 5], 'e': [4, 6, 4, 4, 6, 6, 3, 6, 6, 3, 3, 6, 3, 4, 6, 3, 3, 3, 3, 6], 'd': [2, 2, 2, 3, 3], 'r': [224]}",2022-11-01 06:13:39.882222,4311136,0,251077072,74.626
"{'wid': None, 'ks': [7, 7, 5, 5, 3, 3, 5, 7, 5, 7, 5, 3, 7, 3, 5, 7, 7, 7, 3, 5], 'e': [3, 6, 3, 6, 3, 4, 3, 3, 3, 3, 4, 6, 6, 6, 4, 4, 3, 4, 6, 4], 'd': [4, 3, 3, 4, 4], 'r': [224]}",2022-11-01 06:15:41.501517,5774624,0,340618288,76.414
"{'wid': None, 'ks': [5, 5, 3, 7, 3, 5, 7, 5, 7, 5, 3, 3, 3, 7, 7, 7, 3, 7, 5, 7], 'e': [3, 3, 4, 6, 6, 4, 4, 3, 6, 4, 6, 4, 3, 4, 4, 4, 4, 4, 6, 3], 'd': [2, 3, 3, 4, 3], 'r': [224]}",2022-11-01 06:17:04.763623,5175528,0,264634112,75.958
"{'wid': None, 'ks': [5, 7, 5, 7, 3, 5, 3, 5, 5, 5, 3, 5, 7, 3, 7, 7, 5, 5, 3, 3], 'e': [6, 4, 6, 4, 6, 4, 3, 3, 4, 6, 3, 4, 4, 6, 4, 3, 3, 6, 6, 3], 'd': [4, 2, 3, 4, 2], 'r': [224]}",2022-11-01 06:19:05.478588,4766304,0,324453648,75.55
"{'wid': None, 'ks': [7, 5, 3, 3, 3, 5, 3, 7, 3, 5, 7, 5, 7, 7, 5, 5, 5, 5, 3, 5], 'e': [6, 3, 4, 3, 6, 6, 6, 3, 3, 4, 4, 4, 6, 4, 3, 4, 6, 4, 6, 6], 'd': [4, 3, 2, 3, 4], 'r': [224]}",2022-11-01 06:20:49.486536,5942992,0,306672704,76.242
"{'wid': None, 'ks': [5, 5, 5, 7, 7, 5, 5, 5, 3, 7, 3, 7, 5, 3, 5, 3, 5, 7, 5, 7], 'e': [4, 4, 6, 6, 3, 4, 3, 3, 6, 6, 4, 3, 4, 3, 6, 4, 3, 6, 3, 4], 'd': [4, 2, 2, 3, 3], 'r': [224]}",2022-11-01 06:22:43.103071,4804824,0,295519856,75.286
"{'wid': None, 'ks': [5, 7, 7, 5, 7, 3, 5, 7, 7, 5, 5, 7, 7, 5, 7, 3, 7, 3, 3, 7], 'e': [6, 4, 3, 6, 3, 4, 3, 6, 6, 3, 4, 3, 6, 4, 3, 3, 4, 3, 4, 4], 'd': [3, 3, 2, 2, 4], 'r': [224]}",2022-11-01 06:24:18.884209,4672768,0,248829728,75.042
"{'wid': None, 'ks': [5, 7, 7, 3, 3, 3, 3, 7, 5, 7, 7, 3, 5, 7, 3, 3, 5, 7, 5, 5], 'e': [4, 6, 3, 4, 4, 6, 6, 3, 3, 4, 4, 6, 4, 6, 4, 6, 4, 4, 4, 3], 'd': [3, 3, 2, 2, 3], 'r': [224]}",2022-11-01 06:25:55.582463,4543576,0,259311136,74.88
"{'wid': None, 'ks': [7, 5, 7, 5, 7, 5, 3, 7, 5, 5, 3, 7, 7, 7, 3, 7, 7, 5, 5, 3], 'e': [6, 4, 3, 6, 3, 6, 4, 6, 6, 6, 6, 3, 6, 3, 6, 6, 3, 4, 4, 3], 'd': [4, 3, 4, 2, 2], 'r': [224]}",2022-11-01 06:27:56.072622,4044520,0,298299408,74.608
"{'wid': None, 'ks': [5, 5, 7, 5, 3, 3, 3, 7, 5, 7, 7, 5, 3, 5, 5, 5, 7, 5, 3, 5], 'e': [3, 3, 3, 6, 6, 6, 4, 6, 4, 3, 4, 3, 4, 6, 3, 4, 4, 6, 6, 6], 'd': [3, 4, 3, 4, 3], 'r': [224]}",2022-11-01 06:29:35.074034,5693160,0,307006272,76.482
"{'wid': None, 'ks': [3, 7, 3, 5, 3, 7, 7, 5, 7, 3, 7, 3, 7, 5, 7, 5, 7, 5, 3, 3], 'e': [3, 3, 4, 4, 3, 3, 3, 6, 3, 4, 4, 4, 6, 6, 6, 6, 4, 6, 6, 6], 'd': [2, 3, 4, 2, 3], 'r': [224]}",2022-11-01 06:30:50.369017,5390048,0,233516320,75.342
"{'wid': None, 'ks': [7, 5, 5, 3, 7, 5, 3, 5, 5, 3, 5, 3, 7, 5, 7, 7, 5, 3, 5, 5], 'e': [3, 3, 4, 3, 6, 3, 6, 6, 6, 3, 3, 4, 3, 3, 6, 3, 3, 6, 3, 6], 'd': [2, 2, 3, 2, 4], 'r': [224]}",2022-11-01 06:31:59.756779,5107952,0,196639728,74.312
"{'wid': None, 'ks': [3, 5, 3, 3, 7, 5, 3, 3, 7, 3, 3, 3, 5, 3, 7, 5, 3, 3, 5, 3], 'e': [3, 6, 4, 6, 3, 6, 3, 4, 4, 4, 6, 6, 3, 4, 6, 3, 6, 3, 6, 6], 'd': [4, 3, 3, 4, 2], 'r': [224]}",2022-11-01 06:33:33.268080,4493488,0,296950144,75.51
"{'wid': None, 'ks': [3, 5, 5, 5, 7, 3, 5, 7, 5, 3, 3, 5, 7, 3, 3, 3, 5, 7, 7, 7], 'e': [6, 6, 4, 4, 6, 6, 4, 4, 6, 6, 4, 3, 6, 3, 6, 6, 6, 6, 3, 4], 'd': [3, 2, 3, 3, 3], 'r': [224]}",2022-11-01 06:35:08.671869,5250600,0,298044608,75.974
"{'wid': None, 'ks': [5, 5, 7, 3, 5, 5, 5, 7, 5, 5, 3, 7, 5, 3, 3, 3, 3, 5, 3, 7], 'e': [6, 4, 3, 6, 3, 6, 6, 6, 4, 6, 3, 4, 4, 6, 4, 6, 3, 4, 6, 4], 'd': [3, 2, 4, 4, 2], 'r': [224]}",2022-11-01 06:36:45.660430,4667168,0,291314448,75.436
"{'wid': None, 'ks': [3, 7, 5, 3, 3, 5, 7, 5, 3, 5, 7, 3, 5, 7, 7, 7, 7, 7, 7, 3], 'e': [6, 6, 6, 4, 3, 3, 4, 6, 4, 4, 4, 3, 3, 3, 6, 6, 4, 3, 3, 6], 'd': [4, 2, 2, 4, 4], 'r': [224]}",2022-11-01 06:38:41.702365,5497560,0,329780544,75.78
"{'wid': None, 'ks': [3, 5, 5, 5, 5, 3, 5, 5, 7, 5, 7, 7, 3, 3, 3, 3, 7, 3, 7, 3], 'e': [4, 4, 6, 4, 4, 6, 4, 4, 4, 3, 6, 3, 4, 4, 3, 4, 6, 6, 6, 4], 'd': [4, 4, 3, 2, 2], 'r': [224]}",2022-11-01 06:40:20.761400,4551752,0,280569120,75.204
"{'wid': None, 'ks': [5, 7, 3, 3, 3, 5, 3, 3, 5, 5, 5, 3, 3, 5, 7, 5, 3, 3, 5, 7], 'e': [6, 3, 6, 6, 6, 4, 3, 4, 6, 3, 4, 3, 4, 3, 4, 6, 4, 6, 4, 6], 'd': [4, 3, 3, 2, 3], 'r': [224]}",2022-11-01 06:41:54.079214,4614856,0,268311872,74.958
"{'wid': None, 'ks': [3, 5, 3, 7, 5, 7, 5, 3, 5, 3, 3, 5, 7, 5, 7, 3, 5, 5, 7, 5], 'e': [3, 4, 3, 3, 6, 6, 3, 6, 6, 3, 4, 4, 6, 6, 3, 3, 3, 3, 4, 3], 'd': [2, 4, 2, 4, 2], 'r': [224]}",2022-11-01 06:43:16.690778,4283920,0,254582064,74.91
"{'wid': None, 'ks': [3, 7, 5, 5, 7, 7, 5, 7, 7, 7, 7, 7, 5, 7, 5, 3, 5, 3, 5, 5], 'e': [6, 4, 4, 6, 3, 4, 6, 3, 4, 4, 4, 3, 3, 4, 4, 3, 6, 3, 6, 6], 'd': [4, 3, 3, 4, 4], 'r': [224]}",2022-11-01 06:45:18.980304,5931184,0,349507968,76.746
"{'wid': None, 'ks': [7, 3, 5, 7, 7, 3, 5, 7, 5, 7, 3, 3, 5, 3, 5, 7, 3, 7, 7, 3], 'e': [3, 3, 6, 4, 4, 6, 6, 6, 3, 4, 4, 4, 4, 4, 4, 6, 6, 3, 6, 6], 'd': [3, 2, 3, 2, 4], 'r': [224]}",2022-11-01 06:46:39.900712,5543568,0,244889312,75.502
"{'wid': None, 'ks': [7, 5, 5, 5, 7, 7, 7, 3, 5, 3, 7, 7, 3, 5, 5, 7, 7, 7, 5, 3], 'e': [6, 6, 3, 4, 6, 4, 6, 4, 3, 6, 6, 6, 6, 6, 3, 6, 6, 4, 6, 4], 'd': [2, 3, 3, 2, 2], 'r': [224]}",2022-11-01 06:48:25.703607,4517304,0,283555840,75.18
"{'wid': None, 'ks': [5, 5, 3, 3, 3, 3, 3, 5, 3, 7, 7, 7, 7, 3, 7, 5, 7, 3, 7, 5], 'e': [3, 3, 3, 6, 6, 3, 6, 4, 3, 4, 4, 6, 6, 3, 4, 6, 4, 6, 4, 3], 'd': [4, 2, 3, 3, 2], 'r': [224]}",2022-11-01 06:49:45.091981,4510280,0,242134176,74.734
"{'wid': None, 'ks': [5, 7, 7, 5, 5, 5, 5, 7, 7, 5, 3, 3, 7, 3, 5, 3, 7, 5, 5, 7], 'e': [3, 6, 6, 3, 4, 3, 3, 4, 4, 6, 3, 4, 3, 3, 4, 4, 3, 4, 3, 4], 'd': [4, 3, 2, 3, 2], 'r': [224]}",2022-11-01 06:51:36.144306,3921128,0,270569168,74.586
"{'wid': None, 'ks': [5, 3, 3, 5, 3, 7, 7, 5, 3, 3, 3, 5, 5, 7, 3, 7, 5, 5, 7, 3], 'e': [3, 3, 4, 3, 3, 6, 6, 6, 6, 4, 3, 4, 3, 4, 3, 3, 3, 4, 6, 6], 'd': [3, 2, 2, 3, 4], 'r': [224]}",2022-11-01 06:52:46.975842,5481384,0,227290512,75.156
"{'wid': None, 'ks': [7, 3, 7, 7, 7, 3, 7, 3, 5, 5, 3, 7, 5, 3, 7, 5, 3, 7, 7, 3], 'e': [6, 4, 3, 6, 6, 6, 6, 6, 3, 4, 4, 3, 6, 4, 4, 4, 6, 3, 4, 3], 'd': [3, 2, 4, 4, 4], 'r': [224]}",2022-11-01 06:54:33.409042,5259344,0,312812800,76.452
"{'wid': None, 'ks': [3, 7, 7, 5, 3, 3, 5, 7, 5, 7, 3, 7, 5, 7, 5, 7, 3, 3, 3, 7], 'e': [4, 3, 4, 3, 3, 3, 3, 4, 4, 6, 4, 6, 4, 4, 3, 6, 3, 4, 4, 3], 'd': [4, 3, 3, 2, 3], 'r': [224]}",2022-11-01 06:56:02.682477,4265000,0,241550544,74.718
"{'wid': None, 'ks': [5, 5, 7, 5, 5, 5, 3, 5, 7, 5, 5, 7, 5, 3, 7, 5, 3, 5, 7, 3], 'e': [6, 4, 4, 3, 3, 4, 6, 4, 4, 4, 6, 6, 4, 3, 6, 4, 4, 4, 3, 6], 'd': [3, 4, 3, 3, 4], 'r': [224]}",2022-11-01 06:57:51.367423,5404568,0,310626208,76.226
"{'wid': None, 'ks': [7, 5, 5, 7, 7, 3, 7, 7, 7, 5, 5, 3, 5, 7, 7, 3, 5, 7, 7, 5], 'e': [6, 6, 4, 4, 3, 6, 4, 3, 4, 4, 4, 3, 6, 6, 4, 4, 6, 6, 6, 6], 'd': [3, 4, 4, 4, 4], 'r': [224]}",2022-11-01 07:00:42.752626,6943344,0,387181472,77.122
"{'wid': None, 'ks': [7, 5, 5, 7, 7, 3, 7, 7, 7, 5, 5, 3, 5, 7, 7, 3, 5, 7, 3, 5], 'e': [6, 6, 4, 4, 3, 6, 4, 3, 4, 4, 4, 3, 6, 6, 4, 4, 6, 6, 6, 6], 'd': [3, 4, 4, 4, 4], 'r': [224]}",2022-11-01 07:02:53.601751,6904944,0,385299872,77.152
"{'wid': None, 'ks': [7, 7, 5, 7, 7, 3, 7, 7, 7, 5, 5, 3, 5, 7, 7, 3, 5, 7, 7, 5], 'e': [6, 6, 4, 4, 3, 6, 4, 3, 4, 4, 4, 3, 6, 6, 4, 4, 6, 6, 6, 6], 'd': [3, 4, 4, 4, 4], 'r': [224]}",2022-11-01 07:05:13.697127,6946800,0,398019488,77.1
"{'wid': None, 'ks': [7, 5, 5, 7, 7, 3, 7, 7, 7, 5, 5, 3, 5, 7, 7, 3, 5, 7, 7, 5], 'e': [6, 6, 4, 4, 3, 6, 4, 3, 4, 4, 4, 3, 6, 6, 4, 4, 6, 6, 6, 6], 'd': [4, 4, 4, 4, 4], 'r': [224]}",2022-11-01 07:07:42.165540,6953088,0,416383904,77.272
"{'wid': None, 'ks': [7, 5, 5, 7, 7, 3, 7, 7, 7, 5, 3, 3, 5, 7, 7, 3, 5, 7, 7, 5], 'e': [6, 6, 4, 4, 3, 6, 4, 3, 4, 4, 4, 3, 6, 6, 4, 4, 6, 6, 6, 6], 'd': [3, 4, 4, 4, 4], 'r': [224]}",2022-11-01 07:09:53.367831,6938224,0,386177952,77.148
"{'wid': None, 'ks': [7, 7, 5, 7, 7, 3, 7, 7, 7, 5, 5, 3, 5, 7, 7, 3, 5, 7, 3, 5], 'e': [6, 6, 4, 4, 3, 6, 4, 3, 4, 4, 4, 3, 6, 6, 4, 4, 6, 6, 6, 6], 'd': [3, 4, 4, 4, 4], 'r': [224]}",2022-11-01 07:12:11.996233,6908400,0,396137888,77.106
"{'wid': None, 'ks': [7, 5, 5, 7, 7, 3, 7, 7, 7, 5, 5, 3, 5, 7, 7, 3, 5, 7, 3, 5], 'e': [6, 6, 4, 4, 3, 6, 4, 3, 4, 4, 4, 3, 6, 6, 4, 4, 6, 6, 6, 6], 'd': [4, 4, 4, 4, 4], 'r': [224]}",2022-11-01 07:14:38.704670,6914688,0,414502304,77.244
