Sub-network,Date,Model Parameters,Latency (ms),MACs,Top-1 Acc (%)
"{'wid': None, 'ks': [7, 3, 3, 5, 5, 7, 3, 7, 3, 3, 3, 7, 5, 5, 5, 7, 5, 7, 5, 5], 'e': [4, 4, 4, 4, 3, 6, 4, 4, 6, 4, 3, 6, 4, 4, 3, 6, 4, 4, 6, 6], 'd': [2, 3, 2, 3, 2], 'r': [224]}",2022-11-01 06:06:02.195300,4029600,0,209868864,74.668
"{'wid': None, 'ks': [5, 7, 7, 5, 7, 3, 7, 3, 5, 7, 3, 3, 5, 5, 5, 5, 5, 5, 5, 3], 'e': [6, 4, 4, 4, 6, 3, 4, 4, 4, 3, 6, 6, 4, 4, 6, 4, 3, 4, 4, 4], 'd': [3, 4, 4, 3, 2], 'r': [224]}",2022-11-01 06:07:47.665240,4368304,0,309639312,75.392
"{'wid': None, 'ks': [7, 7, 3, 7, 7, 5, 5, 5, 3, 5, 7, 3, 5, 5, 5, 7, 5, 5, 5, 5], 'e': [3, 4, 3, 3, 4, 4, 6, 4, 4, 4, 3, 4, 3, 6, 3, 4, 3, 6, 4, 4], 'd': [2, 3, 2, 4, 2], 'r': [224]}",2022-11-01 06:09:43.285380,4675968,0,247568528,75.18
"{'wid': None, 'ks': [3, 3, 5, 5, 3, 7, 5, 5, 5, 5, 5, 3, 3, 7, 7, 5, 5, 5, 5, 3], 'e': [3, 4, 4, 3, 3, 3, 4, 3, 3, 6, 3, 4, 3, 3, 3, 4, 6, 6, 4, 4], 'd': [2, 3, 4, 2, 2], 'r': [224]}",2022-11-01 06:11:29.382371,4408160,0,193971712,74.382
"{'wid': None, 'ks': [3, 3, 3, 5, 5, 7, 7, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 7, 7, 3], 'e': [6, 4, 6, 6, 4, 3, 4, 4, 4, 4, 3, 6, 6, 4, 3, 4, 3, 6, 3, 4], 'd': [3, 3, 3, 4, 2], 'r': [224]}",2022-11-01 06:13:24.209204,4665520,0,270867728,75.526
"{'wid': None, 'ks': [3, 3, 7, 7, 5, 5, 5, 3, 7, 5, 5, 5, 3, 3, 5, 3, 5, 3, 5, 5], 'e': [4, 4, 4, 4, 4, 4, 6, 4, 3, 3, 4, 4, 3, 4, 4, 4, 6, 3, 3, 4], 'd': [3, 3, 3, 2, 4], 'r': [224]}",2022-11-01 06:15:11.664486,4619800,0,236720704,75.166
"{'wid': None, 'ks': [7, 5, 5, 5, 5, 3, 7, 3, 7, 5, 3, 5, 7, 5, 7, 5, 5, 7, 3, 5], 'e': [3, 6, 6, 3, 4, 6, 3, 4, 6, 3, 4, 4, 6, 6, 6, 4, 6, 6, 4, 6], 'd': [2, 3, 2, 2, 2], 'r': [224]}",2022-11-01 06:17:05.090999,4740248,0,232098144,74.792
"{'wid': None, 'ks': [5, 5, 5, 3, 5, 5, 7, 5, 5, 7, 5, 3, 3, 7, 3, 7, 5, 7, 7, 7], 'e': [4, 6, 4, 4, 4, 6, 6, 6, 4, 4, 4, 3, 3, 4, 4, 4, 3, 3, 3, 6], 'd': [3, 3, 3, 2, 4], 'r': [224]}",2022-11-01 06:18:56.982392,4853688,0,266774416,75.068
"{'wid': None, 'ks': [7, 3, 5, 7, 7, 5, 5, 3, 7, 3, 7, 5, 5, 5, 3, 3, 3, 3, 7, 5], 'e': [3, 6, 6, 6, 6, 3, 4, 6, 4, 3, 6, 3, 3, 4, 4, 4, 3, 6, 4, 3], 'd': [4, 4, 4, 4, 3], 'r': [224]}",2022-11-01 06:20:58.774642,5152000,0,360979152,76.268
"{'wid': None, 'ks': [5, 3, 5, 5, 5, 5, 5, 3, 3, 5, 3, 7, 5, 5, 5, 7, 5, 5, 5, 5], 'e': [6, 6, 4, 6, 6, 4, 6, 4, 4, 4, 6, 3, 6, 6, 3, 6, 3, 4, 4, 3], 'd': [4, 4, 3, 2, 3], 'r': [224]}",2022-11-01 06:22:47.698242,4645080,0,318903248,75.4
"{'wid': None, 'ks': [5, 7, 5, 5, 5, 5, 7, 3, 7, 5, 7, 5, 5, 7, 3, 7, 5, 3, 5, 5], 'e': [3, 4, 4, 4, 3, 6, 6, 6, 4, 3, 6, 3, 3, 4, 4, 6, 4, 4, 4, 6], 'd': [3, 3, 2, 4, 3], 'r': [224]}",2022-11-01 06:24:42.174902,4905000,0,286204224,75.834
"{'wid': None, 'ks': [3, 3, 5, 5, 5, 7, 3, 5, 7, 5, 5, 5, 5, 7, 5, 7, 3, 3, 3, 5], 'e': [4, 6, 4, 6, 3, 6, 6, 6, 6, 6, 4, 3, 3, 6, 4, 6, 4, 3, 3, 4], 'd': [3, 2, 3, 2, 3], 'r': [224]}",2022-11-01 06:26:29.902272,4230632,0,239427840,74.798
"{'wid': None, 'ks': [5, 7, 5, 5, 3, 3, 5, 5, 5, 5, 5, 7, 7, 3, 5, 3, 3, 7, 3, 5], 'e': [4, 4, 4, 3, 4, 4, 3, 4, 3, 3, 4, 3, 4, 4, 6, 3, 3, 3, 4, 4], 'd': [2, 4, 2, 3, 3], 'r': [224]}",2022-11-01 06:28:14.568747,4439936,0,230736080,74.914
"{'wid': None, 'ks': [7, 5, 7, 5, 7, 3, 7, 5, 7, 5, 5, 5, 5, 3, 3, 3, 3, 7, 3, 7], 'e': [4, 3, 6, 4, 4, 4, 4, 3, 6, 6, 4, 3, 4, 3, 3, 4, 4, 6, 4, 4], 'd': [3, 3, 3, 4, 2], 'r': [224]}",2022-11-01 06:29:37.004599,4621992,0,288648768,75.71
