Sub-network,Date,Model Parameters,Latency (ms),MACs,Top-1 Acc (%)
"{'wid': None, 'ks': [3, 5, 5, 5, 5, 7, 7, 7, 7, 7, 3, 5, 3, 5, 5, 5, 3, 5, 5, 7], 'e': [6, 4, 6, 3, 4, 3, 6, 6, 3, 4, 6, 6, 6, 3, 3, 6, 4, 3, 4, 3], 'd': [2, 3, 3, 3, 2], 'r': [224]}",2022-11-01 06:04:38.908762,3968456,0,229840256,74.698
"{'wid': None, 'ks': [5, 5, 5, 5, 5, 5, 5, 3, 5, 3, 7, 7, 3, 5, 3, 7, 3, 7, 3, 3], 'e': [3, 3, 3, 6, 3, 3, 3, 4, 6, 3, 6, 3, 4, 6, 4, 4, 3, 6, 6, 6], 'd': [4, 2, 2, 3, 2], 'r': [224]}",2022-11-01 06:05:58.024123,4498496,0,237081360,74.338
"{'wid': None, 'ks': [7, 3, 5, 7, 7, 5, 5, 7, 3, 3, 7, 7, 7, 3, 3, 7, 5, 7, 7, 3], 'e': [6, 3, 4, 6, 4, 6, 4, 3, 6, 6, 4, 3, 4, 4, 3, 4, 4, 6, 4, 6], 'd': [2, 3, 2, 4, 4], 'r': [224]}",2022-11-01 06:07:41.027672,5884072,0,283829056,76.222
"{'wid': None, 'ks': [7, 5, 7, 7, 5, 5, 5, 7, 7, 5, 5, 3, 3, 5, 5, 3, 5, 7, 7, 7], 'e': [4, 4, 3, 4, 4, 3, 4, 3, 4, 4, 4, 4, 6, 6, 4, 6, 3, 6, 3, 3], 'd': [2, 4, 3, 3, 4], 'r': [224]}",2022-11-01 06:09:41.492286,5315440,0,269450448,76.136
"{'wid': None, 'ks': [3, 7, 5, 7, 7, 5, 5, 3, 3, 5, 3, 5, 7, 3, 5, 7, 7, 5, 5, 7], 'e': [6, 4, 4, 6, 6, 4, 4, 6, 4, 4, 4, 4, 3, 3, 6, 3, 4, 3, 6, 6], 'd': [4, 2, 2, 2, 4], 'r': [224]}",2022-11-01 06:11:28.775287,5222088,0,282182048,74.532
"{'wid': None, 'ks': [5, 5, 7, 7, 7, 7, 5, 3, 3, 5, 3, 5, 3, 5, 3, 7, 7, 3, 5, 3], 'e': [3, 6, 4, 6, 3, 6, 4, 3, 3, 6, 4, 4, 4, 4, 4, 3, 3, 4, 4, 3], 'd': [2, 3, 3, 2, 4], 'r': [224]}",2022-11-01 06:13:21.790795,4574128,0,227139728,75.048
"{'wid': None, 'ks': [7, 7, 3, 3, 3, 7, 5, 3, 3, 3, 7, 5, 7, 7, 7, 3, 7, 5, 5, 5], 'e': [4, 6, 4, 4, 6, 6, 3, 6, 6, 3, 3, 6, 3, 4, 6, 3, 3, 3, 3, 6], 'd': [2, 2, 2, 3, 3], 'r': [224]}",2022-11-01 06:15:08.389288,4311136,0,251077072,74.604
"{'wid': None, 'ks': [7, 7, 5, 5, 3, 3, 5, 7, 5, 7, 5, 3, 7, 3, 5, 7, 7, 7, 3, 5], 'e': [3, 6, 3, 6, 3, 4, 3, 3, 3, 3, 4, 6, 6, 6, 4, 4, 3, 4, 6, 4], 'd': [4, 3, 3, 4, 4], 'r': [224]}",2022-11-01 06:17:12.587278,5774624,0,340618288,76.402
"{'wid': None, 'ks': [5, 5, 3, 7, 3, 5, 7, 5, 7, 5, 3, 3, 3, 7, 7, 7, 3, 7, 5, 7], 'e': [3, 3, 4, 6, 6, 4, 4, 3, 6, 4, 6, 4, 3, 4, 4, 4, 4, 4, 6, 3], 'd': [2, 3, 3, 4, 3], 'r': [224]}",2022-11-01 06:19:03.789868,5175528,0,264634112,75.93
"{'wid': None, 'ks': [5, 7, 5, 7, 3, 5, 3, 5, 5, 5, 3, 5, 7, 3, 7, 7, 5, 5, 3, 3], 'e': [6, 4, 6, 4, 6, 4, 3, 3, 4, 6, 3, 4, 4, 6, 4, 3, 3, 6, 6, 3], 'd': [4, 2, 3, 4, 2], 'r': [224]}",2022-11-01 06:20:59.460589,4766304,0,324453648,75.566
"{'wid': None, 'ks': [7, 5, 3, 3, 3, 5, 3, 7, 3, 5, 7, 5, 7, 7, 5, 5, 5, 5, 3, 5], 'e': [6, 3, 4, 3, 6, 6, 6, 3, 3, 4, 4, 4, 6, 4, 3, 4, 6, 4, 6, 6], 'd': [4, 3, 2, 3, 4], 'r': [224]}",2022-11-01 06:22:49.084484,5942992,0,306672704,76.28
"{'wid': None, 'ks': [5, 5, 5, 7, 7, 5, 5, 5, 3, 7, 3, 7, 5, 3, 5, 3, 5, 7, 5, 7], 'e': [4, 4, 6, 6, 3, 4, 3, 3, 6, 6, 4, 3, 4, 3, 6, 4, 3, 6, 3, 4], 'd': [4, 2, 2, 3, 3], 'r': [224]}",2022-11-01 06:24:42.962743,4804824,0,295519856,75.234
"{'wid': None, 'ks': [5, 7, 7, 5, 7, 3, 5, 7, 7, 5, 5, 7, 7, 5, 7, 3, 7, 3, 3, 7], 'e': [6, 4, 3, 6, 3, 4, 3, 6, 6, 3, 4, 3, 6, 4, 3, 3, 4, 3, 4, 4], 'd': [3, 3, 2, 2, 4], 'r': [224]}",2022-11-01 06:26:30.190995,4672768,0,248829728,75.006
